,4.19민주묘지,가능,가락시장,가산디지털단지,가양,가오리,가재울,가정(루원시티),가정중앙시장,가좌,가천대,가평,간석,간석오거리,갈매,갈산,강남,강남구청,강남대,강동,강동구청,강매,강변(동서울터미널),강일,강촌,개롱,개봉,개포동,개화,개화산,거여,건대입구,걸포북변,검단사거리,검단오류(검단산업단지),검바위,검암,경기광주,경기도청북부청사,경마공원,경복궁(정부서울청사),경인교대입구,경전철의정부,경찰병원,계산,계양,고덕,고려대(종암),고색,고속터미널,고잔,고진,고촌,곡산,곤제,곤지암,공덕,공릉(서울과학기술대),공항시장,공항화물청사,과천,관악,관악산(서울대),광교(경기대),광교중앙(아주대),광나루(장신대),광명,광명사거리,광운대,광화문(세종문화회관),광흥창(서강),교대(법원.검찰청),구래,구로,구로디지털단지,구룡,구리,구반포,구산,구성,구의(광진구청),구일,구파발,국수,국제업무지구,국회의사당,군자(능동),군포,굴봉산,굴포천,굽은다리(강동구민회관앞),귤현,금곡,금릉,금정,금천구청,금촌,금호,기흥,길동,길음,김량장,김유정,김포공항,까치산,까치울,낙성대(강감찬),남구로,남동구청,남동인더스파크,남부터미널(예술의전당),남성,남영,남위례,남춘천,남태령,남한산성입구(성남법원.검찰청),내방,노들,노량진,노원,녹번,녹사평(용산구청),녹양,녹천,논현,능곡,단대오거리,달미,달월,답십리,당고개,당곡,당산,당정,대곡,대공원,대림(구로구청),대모산입구,대방,대성리,대야미,대청,대치,대화,대흥(서강대앞),덕계,덕소,덕정,도곡,도농,도림천,도봉,도봉산,도심,도원,도화,독립문,독바위,독산,독정,돌곶이,동대문,동대문역사문화공원(DDP),동대입구,동두천,동두천중앙,동막,동묘앞,동백,동수,동암,동오,동인천,동작(현충원),동천,동춘,두정,둔전,둔촌동,둔촌오륜,등촌,디지털미디어시티,뚝섬,뚝섬유원지,마곡,마곡나루(서울식물원),마두,마들,마산,마석,마장,마전,마천,마포,마포구청,만수,망우,망원,망월사,망포,매교,매봉,매탄권선,먹골,면목,명동,명일,명지대,명학,모란,모래내시장,목동,몽촌토성(평화의문),무악재,문래,문산,문정,문학경기장,미금,미사,미아(서울사이버대학),미아사거리,박촌,반월,반포,발곡,발산,방배,방이,방학,방화,배방,백마,백석,백양리,백운,버티고개,범계,범골,별내,별내별가람,병점,보라매,보라매공원,보라매병원,보문,보산,보정,보평,복정,봉명,봉은사,봉천,봉화산(서울의료원),부개,부발,부천,부천시청,부천종합운동장,부평,부평구청,부평삼거리,부평시장,북한산보국문,북한산우이,불광,사가정,사당,사릉,사리,사우(김포시청),사평,산곡,산본,산성,삼가,삼각지,삼동,삼산체육관,삼성(무역센터),삼성중앙,삼송,삼양,삼양사거리,삼전,상갈,상계,상도,상동,상록수,상봉(시외버스터미널),상수,상왕십리,상월곡(한국과학기술연구원),상일동,상천,상현,새말,새절(신사),샛강,서강대,서구청,서대문,서동탄,서부여성회관,서빙고,서울대벤처타운,서울대입구(관악구청),서울숲,서울역,서울지방병무청,서원,서정리,서초,서현,석계,석남(거북시장),석바위시장,석수,석천사거리,석촌,석촌고분,선릉,선바위,선부,선유도,선정릉,선학,성균관대,성복,성수,성신여대입구(돈암),성환,세류,세마,세종대왕릉,센트럴파크,소래포구,소사,소새울,소요산,솔밭공원,솔샘,송내,송도,송도달빛축제공원,송산,송정,송탄,송파,송파나루,수내,수락산,수리산,수색,수서,수원,수원시청,수유(강북구청),수지구청,수진,숙대입구(갈월),숭실대입구(살피재),숭의,시민공원(문화창작지대),시우,시청,시청.용인대,시흥능곡,시흥대야,시흥시청,신갈,신금호,신길,신길온천,신내,신논현,신답,신당,신대방,신대방삼거리,신도림,신둔도예촌,신림,신목동,신반포,신방화,신사,신설동,신연수,신용산,신원,신이문,신정(은행정),신정네거리,신중동,신창(순천향대),신천,신촌,신포,신풍,신현,신흥,쌍문,쌍용(나사렛대),아산,아시아드경기장(공촌사거리),아신,아차산(어린이대공원후문),아현,안국,안산,안암(고대병원앞),안양,암사,압구정,압구정로데오,애오개,야당,야목,야탑,약수,양수,양원,양재(서초구청),양재시민의숲(매헌),양정,양주,양천구청,양천향교,양촌,양평,어룡,어린이대공원(세종대),어정,어천,언주,여의나루,여의도,여주,역곡,역삼,역촌,연수,연신내,염창,영등포,영등포구청,영등포시장,영종,영통,예술회관,오금,오남,오류동,오리,오목교(목동운동장앞),오목천,오빈,오산,오산대,오이도,옥수,온수(성공회대입구),온양온천,올림픽공원(한국체대),완정,왕길,왕십리(성동구청),외대앞,용답,용두(동대문구청),용마산(용마폭포공원),용문,용산,우장산,운길산,운동장.송담대,운서,운양,운연(서창),운정,운천,원당,원덕,원시,원인재,원종,원흥,월계,월곡(동덕여대),월곶,월드컵경기장(성산),월롱,을지로3가,을지로4가,을지로입구,응봉,응암,의왕,의정부,의정부시청,의정부중앙,이대,이매,이수,이천,이촌(국립중앙박물관),이태원,인덕원,인천,인천가좌,인천공항1터미널,인천공항2터미널,인천논현,인천대공원,인천대입구,인천시청,인천터미널,인하대,일산,일원,임진강,임학,작전,잠실(송파구청),잠실나루,잠실새내,잠원,장기,장승배기,장암,장지,장한평,전대.에버랜드,정릉,정발산,정부과천청사,정왕,정자,제기동,제물포,종각,종로3가,종로5가,종합운동장,주안,주안국가산단,주엽,죽전,중계,중곡,중동,중랑,중앙,중앙보훈병원,중화,증미,증산(명지대앞),지석,지식정보단지,지축,지평,지행,직산,진위,진접,창동,창신,천마산,천안,천왕,천호(풍납토성),철산,청계산입구,청구,청담,청라국제도시,청량리(서울시립대입구),청명,청평,초당,초월,초지,총신대입구(이수),춘의,춘천,충무로,충정로(경기대입구),캠퍼스타운,탄현,탑석,탕정,태릉입구,태평,테크노파크,퇴계원,파주,판교,팔당,평내호평,평촌,평택,평택지제,풍무,풍산,하계,하남검단산,하남시청(덕풍·신장),하남풍산,학동,학여울,한강진,한남,한대앞,한성대입구(삼선교),한성백제,한양대,한티,합정,행당,행신,혜화,호구포,홍대입구,홍제,화계,화곡,화랑대(서울여대입구),화서,화전,화정,회기,회룡,회현(남대문시장),효자,효창공원앞,흑석(중앙대입구),흥선
4.19민주묘지,3.0,0.0,3.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,11.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,8.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,40.0,11.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,0.0,3.0,0.0,0.0,2.0,9.0,22.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,6.0,1.0,4.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,15.0,0.0,0.0,2.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,6.0,3.0,8.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,17.0,0.0,1.0,7.0,0.0,3.0,0.0,1.0,0.0,17.0,66.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,7.0,4.0,0.0,28.0,0.0,1.0,17.0,1.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,13.0,0.0,0.0,7.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,8.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,17.0,0.0,0.0,0.0,0.0,28.0,0.0,36.0,43.0,19.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,14.0,1.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,26.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,14.0,0.0,0.0,12.0,0.0,1.0,1.0,12.0,1.0,0.0,43.0,0.0,9.0,4.0,5.0,3.0,5.0,0.0,0.0,0.0,3.0,0.0,14.0,0.0,2.0,0.0,0.0
가능,0.0,2.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,27.0,0.0,5.0,2.0,0.0,16.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,1.0,18.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,7.0,21.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,33.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,8.0,7.0,2.0,1.0,0.0,1.0,0.0,11.0,1.0,8.0,136.0,1.0,0.0,0.0,3.0,23.0,0.0,1.0,0.0,0.0,3.0,15.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,9.0,87.0,24.0,5.0,1.0,2.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,12.0,5.0,0.0,1.0,0.0,32.0,0.0,0.0,2.0,0.0,0.0,7.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,12.0,16.0,29.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,7.0,0.0,11.0,0.0,0.0,3.0,38.0,62.0,0.0,0.0,5.0,1.0,3.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,2.0,0.0,0.0,30.0,6.0,0.0,12.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,78.0,0.0,0.0,0.0,2.0,0.0,33.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,56.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,39.0,0.0,0.0,1.0,0.0,0.0,84.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,19.0,3.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,16.0,42.0,0.0,7.0,0.0,8.0,1.0,3.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,3.0,3.0,9.0,0.0,17.0,0.0,3.0,12.0,1.0,6.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,2.0,0.0,4.0,0.0,3.0,0.0,2.0,0.0,18.0,0.0,0.0,1.0,7.0,12.0,0.0,0.0,18.0,1.0,0.0,2.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,4.0,2.0,0.0,6.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,0.0,0.0,0.0,9.0,2.0,14.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,5.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,28.0,11.0,6.0,1.0,0.0,1.0,3.0,4.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,0.0,107.0,83.0,62.0,2.0,0.0,0.0,0.0,0.0,33.0,4.0,0.0,0.0,0.0,4.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,135.0,2.0,0.0,0.0,0.0,23.0,1.0,0.0,3.0,51.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,30.0,12.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,1.0,2.0,43.0,0.0,7.0,0.0,0.0,15.0,0.0,3.0,3.0,8.0,1.0,0.0,45.0,0.0,20.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,26.0,2.0,19.0,0.0,0.0,4.0,0.0
가락시장,4.0,0.0,222.0,58.0,32.0,3.0,1.0,5.0,0.0,3.0,52.0,2.0,0.0,0.0,2.0,2.0,128.0,51.0,0.0,118.0,175.0,2.0,66.0,21.0,0.0,86.0,9.0,13.0,1.0,3.0,100.0,90.0,4.0,0.0,0.0,0.0,7.0,21.0,0.0,0.0,63.0,3.0,0.0,142.0,1.0,8.0,39.0,12.0,3.0,251.0,4.0,0.0,4.0,0.0,0.0,6.0,29.0,11.0,3.0,0.0,3.0,1.0,3.0,6.0,14.0,53.0,0.0,18.0,5.0,25.0,5.0,195.0,4.0,5.0,67.0,7.0,6.0,4.0,9.0,21.0,40.0,1.0,32.0,0.0,1.0,24.0,45.0,0.0,0.0,7.0,65.0,0.0,0.0,2.0,4.0,0.0,1.0,37.0,15.0,48.0,35.0,1.0,0.0,23.0,19.0,11.0,45.0,19.0,0.0,0.0,214.0,31.0,0.0,105.0,1.0,0.0,314.0,16.0,5.0,43.0,17.0,66.0,4.0,2.0,1.0,15.0,1.0,301.0,1.0,0.0,34.0,2.0,1.0,40.0,1.0,5.0,2.0,32.0,27.0,3.0,0.0,1.0,203.0,194.0,19.0,9.0,3.0,2.0,1.0,134.0,4.0,1.0,3.0,11.0,2.0,0.0,1.0,13.0,1.0,8.0,2.0,13.0,17.0,34.0,38.0,1.0,2.0,0.0,8.0,4.0,0.0,3.0,0.0,3.0,3.0,22.0,1.0,1.0,2.0,53.0,5.0,9.0,17.0,43.0,4.0,1.0,21.0,12.0,21.0,0.0,1.0,9.0,1.0,94.0,15.0,10.0,0.0,2.0,6.0,4.0,20.0,4.0,152.0,5.0,12.0,17.0,20.0,55.0,1.0,1.0,178.0,0.0,7.0,144.0,12.0,12.0,0.0,264.0,0.0,105.0,100.0,8.0,34.0,0.0,0.0,5.0,0.0,2.0,22.0,68.0,4.0,4.0,0.0,4.0,13.0,0.0,0.0,3.0,8.0,1.0,1.0,1.0,3.0,13.0,0.0,5.0,13.0,1.0,9.0,2.0,59.0,0.0,66.0,30.0,5.0,0.0,2.0,9.0,13.0,2.0,3.0,3.0,0.0,2.0,7.0,2.0,37.0,22.0,81.0,3.0,0.0,0.0,9.0,2.0,2.0,146.0,1.0,14.0,4.0,4.0,71.0,23.0,35.0,2.0,0.0,62.0,7.0,13.0,24.0,7.0,4.0,28.0,4.0,13.0,8.0,85.0,0.0,8.0,0.0,12.0,7.0,0.0,2.0,27.0,0.0,0.0,2.0,9.0,85.0,16.0,50.0,2.0,0.0,1.0,33.0,102.0,13.0,6.0,0.0,2.0,0.0,260.0,44.0,91.0,1.0,0.0,9.0,50.0,2.0,3.0,39.0,69.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,6.0,6.0,1.0,0.0,3.0,1.0,1.0,203.0,68.0,34.0,20.0,0.0,4.0,690.0,14.0,10.0,38.0,27.0,96.0,16.0,24.0,0.0,0.0,0.0,51.0,0.0,0.0,1.0,0.0,11.0,4.0,2.0,1.0,2.0,75.0,1.0,15.0,37.0,31.0,39.0,2.0,62.0,9.0,6.0,4.0,133.0,19.0,0.0,15.0,0.0,3.0,7.0,2.0,7.0,0.0,1.0,31.0,0.0,17.0,0.0,115.0,40.0,0.0,0.0,0.0,0.0,48.0,8.0,85.0,2.0,12.0,0.0,347.0,91.0,37.0,10.0,1.0,0.0,141.0,51.0,0.0,1.0,474.0,36.0,0.0,1.0,6.0,13.0,0.0,5.0,0.0,11.0,4.0,1.0,28.0,1.0,91.0,3.0,12.0,117.0,0.0,0.0,79.0,41.0,10.0,6.0,5.0,0.0,7.0,2.0,248.0,1.0,2.0,43.0,19.0,4.0,0.0,1.0,3.0,2.0,22.0,14.0,1.0,35.0,0.0,0.0,29.0,2.0,3.0,10.0,7.0,1.0,15.0,11.0,0.0,5.0,2.0,0.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,2.0,10.0,2.0,9.0,0.0,4.0,0.0,57.0,17.0,51.0,1.0,11.0,0.0,2.0,0.0,0.0,13.0,17.0,34.0,5.0,12.0,7.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,212.0,0.0,2.0,4.0,701.0,26.0,55.0,38.0,1.0,8.0,1.0,360.0,57.0,3.0,3.0,5.0,8.0,1.0,47.0,9.0,0.0,23.0,42.0,12.0,25.0,7.0,0.0,13.0,61.0,29.0,18.0,4.0,5.0,7.0,55.0,19.0,5.0,5.0,5.0,1.0,8.0,0.0,1.0,0.0,0.0,1.0,17.0,3.0,2.0,0.0,4.0,451.0,23.0,14.0,10.0,6.0,2.0,17.0,4.0,0.0,2.0,6.0,2.0,16.0,8.0,0.0,40.0,12.0,0.0,4.0,0.0,0.0,14.0,96.0,0.0,0.0,1.0,45.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,23.0,21.0,37.0,16.0,20.0,42.0,6.0,10.0,4.0,15.0,8.0,8.0,36.0,13.0,14.0,4.0,35.0,0.0,35.0,47.0,5.0,10.0,4.0,1.0,0.0,30.0,17.0,6.0,37.0,0.0,22.0,22.0,0.0
가산디지털단지,10.0,4.0,43.0,288.0,127.0,10.0,23.0,197.0,51.0,16.0,19.0,4.0,56.0,77.0,15.0,50.0,235.0,205.0,0.0,84.0,21.0,15.0,59.0,28.0,0.0,20.0,111.0,15.0,7.0,34.0,38.0,277.0,12.0,55.0,10.0,44.0,37.0,19.0,5.0,1.0,27.0,64.0,0.0,38.0,113.0,79.0,22.0,36.0,10.0,465.0,53.0,0.0,21.0,5.0,0.0,4.0,133.0,74.0,9.0,0.0,20.0,209.0,13.0,6.0,24.0,45.0,241.0,1547.0,37.0,37.0,23.0,93.0,20.0,256.0,229.0,3.0,54.0,3.0,38.0,16.0,86.0,27.0,88.0,2.0,4.0,53.0,211.0,102.0,0.0,657.0,38.0,52.0,4.0,16.0,514.0,314.0,11.0,46.0,44.0,26.0,99.0,4.0,0.0,46.0,378.0,493.0,214.0,372.0,7.0,1.0,74.0,273.0,172.0,17.0,4.0,4.0,30.0,303.0,11.0,137.0,132.0,40.0,5.0,4.0,12.0,318.0,61.0,30.0,19.0,0.0,54.0,28.0,87.0,359.0,97.0,49.0,0.0,804.0,13.0,97.0,0.0,18.0,44.0,32.0,23.0,12.0,4.0,11.0,9.0,27.0,37.0,8.0,8.0,112.0,3.0,24.0,39.0,13.0,30.0,291.0,30.0,29.0,122.0,52.0,20.0,1.0,5.0,22.0,96.0,5.0,27.0,178.0,2.0,88.0,6.0,34.0,66.0,50.0,3.0,23.0,1.0,87.0,167.0,26.0,134.0,105.0,54.0,19.0,103.0,10.0,7.0,17.0,27.0,37.0,117.0,66.0,7.0,8.0,62.0,18.0,81.0,17.0,43.0,27.0,85.0,138.0,69.0,44.0,2.0,215.0,61.0,29.0,99.0,4.0,16.0,204.0,7.0,27.0,2.0,68.0,57.0,58.0,139.0,54.0,30.0,81.0,2.0,109.0,16.0,13.0,20.0,47.0,2.0,55.0,20.0,0.0,94.0,6.0,131.0,1.0,15.0,9.0,223.0,426.0,26.0,63.0,27.0,0.0,4.0,0.0,35.0,3.0,23.0,229.0,35.0,139.0,6.0,421.0,637.0,267.0,241.0,464.0,5.0,131.0,37.0,9.0,112.0,159.0,210.0,9.0,13.0,22.0,3.0,423.0,148.0,7.0,0.0,10.0,5.0,291.0,76.0,14.0,38.0,5.0,15.0,32.0,20.0,56.0,404.0,576.0,178.0,171.0,33.0,45.0,23.0,72.0,2.0,23.0,2.0,117.0,45.0,3.0,53.0,60.0,35.0,15.0,4.0,142.0,337.0,58.0,473.0,49.0,60.0,60.0,37.0,33.0,102.0,331.0,12.0,362.0,33.0,79.0,42.0,146.0,34.0,31.0,30.0,32.0,33.0,345.0,56.0,67.0,87.0,18.0,50.0,31.0,0.0,9.0,16.0,176.0,16.0,0.0,6.0,30.0,264.0,6.0,43.0,2.0,35.0,29.0,15.0,24.0,16.0,89.0,34.0,3.0,101.0,520.0,57.0,141.0,55.0,7.0,6.0,451.0,1.0,37.0,2.0,286.0,0.0,56.0,60.0,70.0,8.0,22.0,113.0,10.0,1.0,84.0,7.0,62.0,222.0,759.0,671.0,6.0,428.0,16.0,6.0,38.0,83.0,120.0,20.0,7.0,0.0,23.0,53.0,150.0,699.0,1.0,159.0,224.0,0.0,640.0,27.0,12.0,140.0,9.0,6.0,39.0,0.0,72.0,65.0,18.0,104.0,16.0,663.0,35.0,69.0,43.0,32.0,25.0,0.0,56.0,65.0,0.0,10.0,164.0,43.0,0.0,15.0,76.0,50.0,1.0,34.0,1.0,119.0,0.0,2.0,24.0,38.0,95.0,11.0,286.0,141.0,54.0,11.0,164.0,116.0,614.0,231.0,19.0,16.0,38.0,69.0,46.0,11.0,116.0,14.0,74.0,6.0,0.0,107.0,35.0,43.0,39.0,963.0,18.0,42.0,70.0,7.0,69.0,30.0,6.0,0.0,48.0,0.0,265.0,110.0,0.0,2.0,19.0,21.0,3.0,31.0,0.0,34.0,0.0,2.0,34.0,48.0,28.0,10.0,44.0,2.0,30.0,1.0,48.0,10.0,57.0,14.0,207.0,112.0,25.0,1.0,1.0,82.0,7.0,375.0,3.0,34.0,16.0,151.0,11.0,28.0,8.0,3.0,8.0,1.0,29.0,50.0,66.0,3.0,67.0,21.0,0.0,104.0,186.0,160.0,34.0,90.0,11.0,18.0,362.0,12.0,36.0,90.0,9.0,21.0,12.0,45.0,58.0,66.0,73.0,77.0,257.0,154.0,137.0,47.0,205.0,9.0,26.0,15.0,92.0,108.0,173.0,7.0,135.0,43.0,95.0,40.0,113.0,2.0,15.0,31.0,0.0,10.0,2.0,5.0,9.0,78.0,7.0,2.0,43.0,1055.0,116.0,1025.0,19.0,19.0,136.0,5.0,164.0,23.0,0.0,0.0,9.0,45.0,129.0,392.0,0.0,53.0,53.0,34.0,48.0,2.0,2.0,75.0,26.0,19.0,14.0,2.0,86.0,0.0,30.0,96.0,62.0,17.0,22.0,43.0,131.0,10.0,20.0,18.0,297.0,6.0,2.0,13.0,64.0,54.0,7.0,8.0,46.0,339.0,38.0,35.0,53.0,5.0,489.0,79.0,13.0,197.0,24.0,116.0,4.0,42.0,82.0,23.0,42.0,1.0,12.0,15.0,1.0
